# source=measured_ctrl_looplog_tcp, provisional=false
# hello_start=HELLO,15677,wheeleg_tcp,172.20.10.4:23
# start_ack=ACK,15704,0,LOOPLOG_START,1000
# wait_s=9.0
# hello_dump=HELLO,15677,wheeleg_tcp,172.20.10.4:23
# keepalive_interval=0.75
# keepalive_acks=11
# chunk_size=200
# chunks=5
# dump_begin=LOOPLOG_DUMP_BEGIN,1000,unit_us,0,200
# dump_end=LOOPLOG_DUMP_END,1000,800,200
# dump_ack=ACK,32874,0,LOOPLOG_DUMP_TCP,800,200
idx,dt_us
0,69
1,5582
2,2397
3,4012
4,3998
5,3995
6,3995
7,4000
8,4009
9,4002
10,3994
11,3995
12,4000
13,4009
14,4115
15,3881
16,4372
17,3631
18,4002
19,3996
20,3999
21,3995
22,4000
23,4009
24,4000
25,3996
26,3995
27,4000
28,4131
29,4319
30,3551
31,3999
32,4000
33,4009
34,4002
35,3994
36,3995
37,4000
38,4007
39,4004
40,3994
41,3991
42,5301
43,2698
44,4004
45,3998
46,3999
47,3996
48,4013
49,3992
50,4004
51,3991
52,4004
53,4006
54,4006
55,3993
56,3995
57,4000
58,4007
59,4001
60,3997
61,3995
62,4000
63,4007
64,3997
65,5191
66,2806
67,3999
68,4005
69,4002
70,3994
71,3999
72,3996
73,4014
74,3993
75,4002
76,3991
77,6060
78,1950
79,4844
80,3159
81,3991
82,4000
83,4007
84,4001
85,3997
86,3995
87,4000
88,4011
89,3995
90,3999
91,4283
92,6022
93,1704
94,4002
95,3993
96,3999
97,3996
98,4007
99,4001
100,3997
101,3995
102,4000
103,4009
104,4002
105,3994
106,4088
107,3907
108,4007
109,4004
110,3994
111,3995
112,4000
113,4008
114,4000
115,3997
116,4226
117,3773
118,4465
119,3537
120,3999
121,3995
122,4000
123,4009
124,4002
125,3994
126,3995
127,4000
128,4011
129,3998
130,3996
131,3995
132,4000
133,4007
134,4006
135,3992
136,3996
137,3999
138,4030
139,3982
140,3993
141,3995
142,4008
143,3999
144,4024
145,3974
146,3995
147,4000
148,4008
149,4000
150,3997
151,3995
152,4001
153,4008
154,4007
155,3989
156,3995
157,4370
158,3637
159,3997
160,4001
161,3995
162,4000
163,4006
164,4003
165,3996
166,3995
167,4004
168,3999
169,5445
170,2561
171,3987
172,4000
173,4008
174,4007
175,3990
176,3995
177,4036
178,3973
179,3998
180,3998
181,3995
182,4000
183,4009
184,3999
185,3997
186,3995
187,4000
188,4007
189,4003
190,3995
191,3995
192,4004
193,4009
194,4002
195,4018
196,3971
197,4000
198,4010
199,3997
200,3998
201,3995
202,4001
203,4008
204,3999
205,3997
206,3995
207,4000
208,4007
209,4000
210,3998
211,3995
212,4000
213,4008
214,4003
215,3994
216,4212
217,3783
218,4008
219,3996
220,6113
221,1895
222,4258
223,3733
224,4003
225,7279
226,727
227,3988
228,3989
229,4622
230,3390
231,3995
232,4000
233,4029
234,4058
235,3918
236,3995
237,4000
238,4005
239,3999
240,4001
241,3995
242,4004
243,4001
244,5120
245,2880
246,3995
247,4000
248,4005
249,3994
250,4006
251,3991
252,4004
253,4004
254,4001
255,3996
256,3999
257,3996
258,4009
259,4002
260,3998
261,3995
262,4001
263,4004
264,3999
265,4001
266,3995
267,4004
268,4001
269,4002
270,4137
271,3961
272,3935
273,3965
274,3999
275,4001
276,3995
277,4000
278,4006
279,4353
280,3646
281,3995
282,4000
283,4005
284,3998
285,4164
286,3833
287,4000
288,4005
289,3998
290,4002
291,3997
292,4002
293,4001
294,3999
295,4005
296,3991
297,5155
298,2846
299,4004
300,4000
301,3995
302,4000
303,4006
304,3997
305,4002
306,4007
307,3988
308,4004
309,4075
310,3926
311,3995
312,4000
313,4004
314,3999
315,4002
316,3995
317,4004
318,4000
319,4002
320,3999
321,4003
322,3996
323,4062
324,3945
325,3998
326,3995
327,4000
328,4004
329,4001
330,4000
331,3995
332,4001
333,4003
334,4000
335,4001
336,3995
337,4000
338,4004
339,4000
340,4031
341,4226
342,3739
343,4004
344,4001
345,4000
346,3999
347,3992
348,5771
349,2240
350,3994
351,3995
352,4000
353,4004
354,4003
355,3998
356,3995
357,4000
358,4004
359,4002
360,3999
361,3995
362,4000
363,4004
364,3999
365,4002
366,3995
367,4004
368,4000
369,3984
370,4017
371,3995
372,4267
373,3741
374,4362
375,3635
376,3999
377,4000
378,4004
379,4008
380,3993
381,3995
382,4000
383,4004
384,4000
385,4001
386,3995
387,4000
388,4004
389,4002
390,3999
391,3995
392,4004
393,4000
394,4003
395,3998
396,3995
397,4005
398,3995
399,3999
400,4030
401,3967
402,4005
403,3999
404,4004
405,3997
406,3995
407,4000
408,5419
409,2583
410,4003
411,3995
412,4007
413,4287
414,3708
415,4003
416,4323
417,3676
418,4000
419,3998
420,4003
421,3995
422,4007
423,3997
424,3998
425,6826
426,3069
427,2107
428,4000
429,3980
430,5762
431,2250
432,4008
433,4004
434,4009
435,3988
436,3995
437,4000
438,4012
439,4128
440,3865
441,3995
442,4004
443,4000
444,3998
445,4003
446,3995
447,4000
448,4004
449,5298
450,2699
451,4031
452,3964
453,4008
454,3995
455,4007
456,3990
457,4004
458,4000
459,4002
460,3999
461,3999
462,3996
463,4629
464,3390
465,3990
466,4280
467,3715
468,4004
469,3998
470,4003
471,3995
472,4000
473,4004
474,3998
475,4007
476,3991
477,4032
478,3972
479,3998
480,4004
481,3994
482,4000
483,4004
484,3997
485,4004
486,3995
487,4000
488,4004
489,3998
490,4003
491,3999
492,3996
493,4004
494,3998
495,4003
496,3998
497,3997
498,4004
499,3998
500,4178
501,3828
502,4253
503,3747
504,3997
505,4006
506,3993
507,4000
508,4004
509,4000
510,4001
511,3995
512,4000
513,4008
514,3994
515,4003
516,3999
517,3996
518,4004
519,3998
520,4003
521,3995
522,4000
523,4004
524,3999
525,4002
526,3995
527,3996
528,4032
529,3974
530,3999
531,3995
532,4000
533,4004
534,3998
535,4003
536,3995
537,4000
538,4004
539,3998
540,4003
541,4165
542,3835
543,3999
544,4000
545,4001
546,3995
547,4000
548,4004
549,3998
550,4003
551,3995
552,4004
553,5327
554,2668
555,4006
556,3996
557,3999
558,4004
559,3998
560,4003
561,3995
562,4000
563,4004
564,3998
565,4003
566,3995
567,4008
568,3996
569,3999
570,4002
571,3995
572,4000
573,4004
574,3998
575,4003
576,3995
577,29077
578,42
579,11
580,11
581,10
582,11
583,11
584,2825
585,4011
586,3995
587,4000
588,4004
589,3999
590,4002
591,4216
592,3779
593,4004
594,3998
595,4003
596,3999
597,3996
598,4004
599,4002
600,3999
601,3995
602,4000
603,4000
604,5710
605,2299
606,3988
607,3999
608,4004
609,3998
610,4007
611,3991
612,4000
613,5827
614,2177
615,4001
616,3995
617,5738
618,2266
619,3998
620,3999
621,4432
622,3563
623,4008
624,3993
625,4008
626,3991
627,4949
628,3618
629,3444
630,6419
631,1574
632,4056
633,3954
634,5570
635,2421
636,4011
637,3992
638,4004
639,4000
640,4001
641,3995
642,4028
643,3984
644,3991
645,4002
646,3995
647,4000
648,4004
649,4003
650,3998
651,4024
652,3971
653,4004
654,4581
655,3416
656,5380
657,2612
658,4007
659,4000
660,4001
661,3995
662,4000
663,4004
664,3999
665,4002
666,3995
667,4004
668,4347
669,4223
670,3435
671,3991
672,4000
673,4004
674,5616
675,2385
676,3995
677,4000
678,4004
679,4000
680,4005
681,5587
682,2402
683,4006
684,4001
685,4000
686,3995
687,4000
688,4004
689,4000
690,4001
691,3995
692,4004
693,4000
694,8097
695,47
696,3852
697,4000
698,4004
699,3999
700,4002
701,4382
702,3617
703,4000
704,3999
705,4106
706,3895
707,4317
708,3687
709,4000
710,4001
711,3995
712,4001
713,4003
714,4004
715,3997
716,3995
717,4005
718,3999
719,4018
720,4426
721,3548
722,4005
723,4015
724,3987
725,4002
726,3995
727,4000
728,4004
729,4000
730,4001
731,3999
732,3996
733,4105
734,3905
735,3996
736,3994
737,4000
738,4004
739,3998
740,4003
741,3995
742,4470
743,3530
744,4002
745,4003
746,4106
747,3889
748,4004
749,3999
750,4002
751,3995
752,4000
753,4004
754,3998
755,4003
756,4311
757,3688
758,4894
759,3100
760,4007
761,3995
762,4000
763,4004
764,3998
765,4003
766,3995
767,4004
768,4000
769,3998
770,4003
771,3995
772,4000
773,4004
774,3999
775,4002
776,3995
777,4000
778,4004
779,4370
780,3627
781,3999
782,4004
783,4001
784,4591
785,3405
786,3999
787,4000
788,4004
789,3998
790,4003
791,3999
792,4000
793,4000
794,3998
795,4003
796,3995
797,4446
798,3558
799,3998
800,4003
801,3995
802,4000
803,4004
804,3999
805,4002
806,3995
807,4000
808,4005
809,5414
810,2578
811,3999
812,4000
813,4004
814,3998
815,4003
816,3995
817,4004
818,4000
819,3998
820,4003
821,3995
822,4000
823,4004
824,3998
825,4003
826,3995
827,4000
828,4235
829,3767
830,4003
831,3995
832,4000
833,4299
834,3703
835,4211
836,3787
837,4000
838,4004
839,3998
840,4003
841,3995
842,4008
843,3996
844,3999
845,4002
846,3999
847,4178
848,3822
849,3998
850,4003
851,3995
852,4000
853,4004
854,3998
855,4003
856,3995
857,4000
858,4004
859,4002
860,6622
861,1591
862,4526
863,3261
864,7425
865,578
866,3999
867,3997
868,5697
869,2310
870,3993
871,3991
872,4005
873,4027
874,3983
875,3994
876,3995
